NSIC_RC_222,NSIC_RC_192,NSIC_RC_11,NSIC_RC_120,NSIC_RC_396,NSIC_RC_350,NSIC_RC_410,NSIC_RC_100,NSIC_RC_102,NSIC_RC_242,NSIC_RC_56,NSIC_RC_12,NSIC_RC_42,NSIC_RC_442,NSIC_RC_510,Land_area,Max_rain,Max_Temp,Humidity,Seeds_qty,Tot_yield
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92,24.8,37,87,5520,644
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73,24.8,37,87,5840,496.4
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,24.8,37,87,5840,474.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,81,24.8,37,87,6480,364.5
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,24.8,37,87,4860,348.3
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81,24.8,37,87,6480,356.4
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,114,24.8,37,87,6840,786.6
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91,24.8,37,87,4550,518.7
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91,24.8,37,87,6370,418.6
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,24.8,37,87,3150,478.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,24.8,37,87,4720,365.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,71.6,35.2,94,7520,752
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,71.6,35.2,94,4920,434.6
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82,71.6,35.2,94,4920,360.8
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,71.6,35.2,94,6560,434.6
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84,71.6,35.2,94,5040,495.6
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86,71.6,35.2,94,6880,627.8
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,94,71.6,35.2,94,7520,770.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86,71.6,35.2,94,6880,430
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94,71.6,35.2,94,5640,564
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91,71.6,35.2,94,7280,391.3
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88,71.6,35.2,94,5280,475.2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88,71.6,35.2,94,4400,501.6
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89,71.6,35.2,94,6230,409.4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,71.6,35.2,94,4400,730.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,71.6,35.2,94,7360,478.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,10.13,32,81,9280,858.4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,10.13,32,81,5820,388
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,10.13,32,81,4020,294.8
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98,10.13,32,81,7840,490
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,128,10.13,32,81,7680,768
